"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.598819450E-1,4.932733253E-2,-1.565341055E-1,8.384118974E-2
6.619886120E-1,7.254019380E-2,-1.479819864E-1,8.994983882E-2
6.640952260E-1,9.575305134E-2,-1.443168074E-1,9.483675659E-2
6.662018410E-1,1.201876476E-1,-1.382081509E-1,9.728021920E-2
6.683084550E-1,1.385135949E-1,-1.369864196E-1,9.972367436E-2
6.704150700E-1,1.543960720E-1,-1.308777779E-1,1.021671370E-1
6.725217370E-1,1.739437431E-1,-1.308777779E-1,1.033888608E-1
6.746283510E-1,1.910479665E-1,-1.320995092E-1,1.033888608E-1
6.767349660E-1,2.044869810E-1,-1.333212405E-1,1.009454057E-1
6.788415800E-1,2.179260105E-1,-1.357647032E-1,9.483675659E-2
6.809481950E-1,2.264781147E-1,-1.369864196E-1,9.117157012E-2
6.830548090E-1,2.338084877E-1,-1.345429718E-1,8.261945844E-2
6.851614760E-1,2.374736816E-1,-1.382081509E-1,7.284562290E-2
6.872680910E-1,2.399171442E-1,-1.345429718E-1,6.185005978E-2
6.893747050E-1,2.399171442E-1,-1.308777779E-1,5.085449293E-2
6.914813720E-1,2.338084877E-1,-1.284343153E-1,3.863719851E-2
6.935879340E-1,2.289215773E-1,-1.235474050E-1,2.397644334E-2
6.956946010E-1,2.215912044E-1,-1.174387559E-1,9.315688163E-3
6.978012160E-1,2.105956376E-1,-1.149952933E-1,-6.566796452E-3
6.999078300E-1,1.996000707E-1,-1.039997265E-1,-2.122755162E-2
7.020144450E-1,1.861610413E-1,-9.544762224E-2,-3.833176568E-2
7.041210590E-1,1.702785641E-1,-8.689551800E-2,-5.543597788E-2
7.062276740E-1,1.519526094E-1,-8.323032409E-2,-7.131846249E-2
7.083342890E-1,1.324049383E-1,-7.101303339E-2,-8.597921580E-2
7.104409550E-1,1.128572673E-1,-6.368265301E-2,-1.030834317E-1
7.125475700E-1,9.453132749E-2,-5.635227636E-2,-1.177441850E-1
7.146541840E-1,7.254019380E-2,-4.535670951E-2,-1.324049383E-1
7.167607990E-1,5.299251899E-2,-3.558287397E-2,-1.458439678E-1
7.188674660E-1,3.344484791E-2,-2.336557768E-2,-1.592829973E-1
7.209740800E-1,1.389717404E-2,-1.237001177E-2,-1.702785641E-1
7.230806950E-1,-8.093958721E-3,2.290742937E-3,-1.800523996E-1
7.251873090E-1,-2.641990222E-2,1.084284950E-2,-1.886045039E-1
7.272939760E-1,-4.596757516E-2,1.939495653E-2,-1.971566081E-1
7.294005910E-1,-6.307178736E-2,2.672533318E-2,-2.032652497E-1
7.315072050E-1,-7.895427197E-2,3.039052337E-2,-2.093739063E-1
7.336138200E-1,-9.239330143E-2,3.649916872E-2,-2.105956376E-1
7.357204340E-1,-1.033888608E-1,3.772090003E-2,-2.118173689E-1
7.378270490E-1,-1.119409725E-1,3.527744114E-2,-2.105956376E-1
7.399337160E-1,-1.168278903E-1,3.649916872E-2,-2.093739063E-1
7.420403300E-1,-1.192713454E-1,3.649916872E-2,-2.044869810E-1
7.441469450E-1,-1.180496216E-1,3.405570984E-2,-1.996000707E-1
7.462535590E-1,-1.143844277E-1,2.794706449E-2,-1.910479665E-1
7.483601740E-1,-1.058323234E-1,2.672533318E-2,-1.824958473E-1
7.504667890E-1,-9.728021920E-2,2.794706449E-2,-1.763872057E-1
7.525734030E-1,-8.139773458E-2,2.183841541E-2,-1.666133702E-1
7.546800700E-1,-7.040216774E-2,1.939495653E-2,-1.580612659E-1
7.567866840E-1,-5.696314201E-2,1.328630932E-2,-1.482874304E-1
